y	x
1	be considered
1	peaceful unification
1	restraint
0	has raised fears
0	infuriating
1	urging
1	was strongly supported
0	blaming
1	would be better off
0	unequal
1	the trip of a lifetime
1	has shown effectiveness
0	with a sigh
1	support
1	takes a great deal of pride
0	is accused
0	dump
1	civilized
1	hope
0	claimed
0	unexplained logical basis
0	quality of knowingness
0	notwithstanding the labyrinth of constitutional provisions loaded against a free and fair election
0	is almost impossible
0	while destroying the instruments of his power
0	feels constrained to reject
0	have been hollering
0	one of the worst examples of rights abuses
1	praising
1	free and fair
0	is concern
1	a sense of belonging
0	when it suits him
0	feel
0	not done anything
0	alleged proliferation of weapons of mass destruction
0	serious criticism was made
0	tough blow
0	continue to adopt
1	total disengagement
1	respected
0	such a bellicose president
0	not committing
0	not
0	stop intervening
0	serious division
0	difficult
0	m worried
1	has absolute confidence
0	internationally isolated
1	something special , as god 's own country
0	high distress
0	is a perverse place
0	alienate
0	repeatedly made outrageous
0	outrage
0	ominous sign
0	the dispute of opinions
1	enthusiastically asked
0	angered
0	like any form of state terrorism
0	injustice
0	often spent years in solitary confinement
0	gave free rein
0	aggressive ambitions
0	may step up sabotage
0	one of the most dangerous places on earth
0	agenda against
0	do n't want
0	denies
0	all by himself
1	support
0	had disagreed
0	refusal
0	basic doubts
0	hard not to see
0	accusing
0	topple
0	arrogant
1	strong resolve
0	warn of
0	not a price worth paying
0	dragging its feet
0	disastrous
0	she was playing games
0	creates the impression
0	mistrust
0	locked in a verbal war
0	invoking sanctions against
0	launched campaigns against
0	spewed out all kinds of vicious remarks
0	bloody riot
0	do n't think it is a wise thing
0	warned
0	credibility evaporated
0	concessions
0	you 're
0	intimidation
1	hopes
0	free and fair ballot will remain a mirage
0	no one
1	supports it with words and deeds
0	has made some of the loudest noise
0	considers
0	where the hell it is
0	could contaminate
0	pre attack marker
0	no longer works
0	dismissed
0	entrench
0	disdain and wrath
0	is particularly opposed
1	policy
0	infuriated
0	wanted to ignore economic issues
1	support
0	a year of a war
0	suspected
0	criticism of
0	first organized protest
1	accentuates his influence
0	violation
1	growing public interest
0	because
1	better situation
1	closed ranks behind
1	defend themsleves against their oppressors
0	gain the upper hand
0	axis of evil
0	despite
0	encouragement
0	has also expressed concern
1	destined to collapse
0	threatened
0	criticisms
0	growing exodus
1	once prosperous
0	hand it the bill
1	give them rights
1	hard to disagree
1	wants to disguise
0	greek dagger that is thrust into the heart of anatolia
0	axis of evil
0	is travelling too much
0	blamed
1	overwhelmingly
0	flimsy pretexts
0	hardly qualify
0	warned
0	could no longer tolerate
0	totally disagree
0	are completely untrue
0	forceful means
0	recognizing
1	preferred
0	forthright disregard for
0	widespread abuses
0	would be badly damaged
0	as bad or worse
0	thus shattering
1	a veritable media triumph
1	has expressed the wish
0	an unpredictable , anarchical situation
1	keep alight the flame of
0	settle scores
1	good news
0	a bearish soldier who looks like the kind of guy who enjoys breaking things on his face
1	render their firm support
0	crimes of war
0	protests
1	absolutely the right thing to do
1	humanely
0	farce of coup d'etat was staged
0	charged
0	only reason for this would be
0	not up to him to decide who is a captive or who is not a captive
0	late
0	factually inaccurate
0	never
1	called for
1	has always sought
1	very strong sense
0	catastrophe
0	likening
1	integral
1	had accepted
0	blamed
0	to do away with
0	rejection
0	undermining
1	the rare opportunity
0	lump
1	commitments
0	increasing criticisms
0	lambasted
0	limited
0	i'm up to my ears
1	cooperated closely
0	interference
1	work together for the future
0	the fight against terrorism , violence and intrigues
1	has reached a consensus
0	deceptive ploys
0	oppose
1	legitimate
0	hardly convincing
0	massacre
0	other slightly troubling images
1	are enthusiastic
0	strikes at the heart
0	a naive , patently stupid young man who chose the wrong heroes
1	insisted
0	a very sad day
0	without belt tightening there is no money , and without money there is no belt tightening
0	tough conditions
0	israel be harshly condemned
1	will work non stop
1	replete with
1	more leisurely pace
0	those digging graves for others , get engraved themselves
1	support
0	inconsistent
0	to exchange harsh words
1	formation of good economic neighborhood
1	joyous
1	see themselves
0	interfere
0	was it only the wish of socialist propaganda in those words
0	torture and inhuman treatment
0	would still soar
0	farce
0	refuses
1	support
1	transparent , credible , free and fair
0	china threat advocates
0	huge casualties and property losses
0	with guns , bombs and soldiers
1	restoring the full inalienable rights
0	the dissent
0	nasa has to clean up its act
0	policy of isolation and stifling
0	are regarding
0	do n't want
0	charged
0	big secret
0	to polish their own image
0	crime against humanity
0	his brother , jeb , needs in order to secure his reelection
1	we are not precluding the possibility of surprises
1	a true muslim fighter
0	he would receive a hostile reception
0	illegal
0	disorganization
0	reminded
0	what he called
1	oozed confidence
0	the like of which has never been seen before
0	imbalance
0	it will not be easy , of course
1	is very good
0	has no legitimacy
1	would help stop the country plunging into civil war
0	persists
0	hurt
0	is also the most risky
0	probably female
1	sided with
0	accused
1	strugglers
0	note with deep concern
1	determined
0	illegitimate
0	was rejected
0	plight of the palestinians under occupation
0	rather tarnished
1	will be faithful to the laws of the republic of zimbabwe
0	billions of dollars in lethal weapons every year
1	assurances
1	above suspicion
0	rejection
0	to deliver official criticism
0	as exaggerated
1	not ruin its relations with the arabs
1	would stabilize
0	it is a sign of serious economic trouble
1	adopted the most pro taiwan posture
0	the most shameful detentions in the history of post war incarceration in the 21st century
0	not an acceptable
0	will consult with no one
1	fortunately
1	the possibility
1	amazingly roomy
0	simultaneously raises apprehensions and resentment
0	without
1	fair
0	bowed to
0	entirely improper
1	certainly help
1	does not want
1	who said that space investments were not interesting
1	to pay attention to respecting
1	understanding
0	frustrate as many voters as you can
1	want
0	doubt
0	masterminding
0	purely
0	severely
1	the hopes of
0	are torn
0	fomented or backed by the cia and the pentagon
1	implicitly asking
1	to encourage
0	accuses
0	almost grotesquely
1	justice and recognition
0	exposed
0	are getting increasingly critical
1	nor will mr stoiber have any illusions
0	reliance
0	openly declared
1	has promised
0	not running a recreational center
0	denunciation and rejection
1	legitimate
0	malicious
1	promoter , stabilizer and balancer
1	surge
1	does not have the slightest doubt
1	praised
1	more credible
1	wanted
0	such israeli infractions
1	came to the support of
0	classic gas guzzler
1	fairest
1	pleasure displayed
1	imagine
1	respect
0	will remain unchanged
0	picked a quarrel
1	able
0	does not serve the interest of peace
0	children skipping school
1	universal values
0	is afraid
0	antics
1	mutual understanding and patience
0	sensory segregation
0	of all the unconscionable things
0	unrealistic
1	so exciting
0	has no consensus
0	apartheid
0	is battling
0	am shocked
0	readily
0	would not accept
0	playing the part of a thug who is feared by all and who likes to punish anyone that complains about his behavior
0	to send a memorandum of protest
1	look forward
0	tarnish
0	threat to france 's ethic and religious minorities
0	defy
0	is insisting
0	have watched with chagrin
1	put an end
0	can never remove the shackles of repression
1	first step
0	making liberal use of the but construction
0	now that really would be cruel
0	even risking his own future
0	disagreement with
0	not pleased
0	disputed by
0	the criminals
0	rejected
1	would cooperate
0	refused
0	interference
1	renew our support
1	chance came to sharon 's rescue
1	pride
0	killed and injured thousands of innocent afghans
0	facts are incorrect
0	it 's hard to imagine
0	opinionated
0	particularly great
0	frustrated
0	oversight
0	violation of the palestinian people 's human rights
1	most important heritage
0	archetypal sales of lethal weapons
1	well recognized
0	most serious consequences
0	was nothing more than a sick attempt to appeal to the worst red neck prejudices
1	rallied for peace
0	unlawful combatants
0	after the collapse of all their arguments
0	tragedy
0	unjust
0	is not in control
1	bold
0	hard core
1	relieved
0	humiliation of
1	will advance positive change
0	interference
0	costly burden
0	the great money laundering operation
1	wish
0	non wasp humanity
0	took such a concerted stance critical
0	double standards
0	can not afford
0	refused to send
0	victorious
1	invited
0	would not recognize
0	policy
0	reserves
1	vowed
0	always accuses
0	distanced themselves
0	seems to be determined to expand the scope of the anti terror war
1	a recommendation
0	disputes
0	strong perception
1	support
0	to defer or reject
0	not easy
0	waited angrily
0	against the spirit
0	violated
0	yet
0	high degree of difficulty
0	denied by
0	criticism
1	there is need for a partnership
1	communiques and relevant commitments
1	wish
0	to warn
0	do not
0	not only prejudice
0	in its hands
0	in fact his government is illegitimate
1	somewhat softens its tone
0	fraud
0	feeling sorry
1	was successful
0	drove the imf even further away
1	the deeper truth
0	even more meteoric
1	is optimistic
1	friendship
0	wariness
0	forever hold their peace
0	lose control
1	to maintain calm
0	hostility towards
0	ever increasing us influence
0	crushed politically , socially , economically
0	getting mixed up with crime , drugs , and violence
0	systematic campaign of violence and intimidation
0	as is feared by the whole world
1	is supporting
1	beyond reproach
0	was an affront to the muslim people
0	pent up opposition
0	unsound
0	are eyesores
0	a certain cold blooded dictator
0	the objections
0	fighting tyranny with tyranny
1	it 's over
0	critical opinions
1	humane and reasonable
1	advice
0	believes
1	planning called for
0	angry
1	be willing
0	do n't support
0	opposes
0	has threatened
1	prefer
1	now is the time to build our future together
0	systematically stealing
0	like they 're best buddies
0	hardly elastic enough
1	recommendation
0	barbarians
0	such an
0	sympathy
0	plotting
0	have been rubbed on her skin
0	were striking
0	objections
1	promote
0	resorting to
0	as if it were an adjudicator
0	mix up
0	already over taxed economy
1	abating
0	continues to refuse
1	should help put people 's minds at ease
0	failed experiences
0	his axis of evil remark
1	was passionate
1	be considered
1	delighted
0	what would remain of the ideals
0	significantly weakened
0	in admirable harmony
0	lost immediately
1	want
1	thanks
0	did not agree
0	violent protests
0	is running so scared
0	presumptive
0	stolen
0	health is already extremely undermined
1	sovereignty and land in spirit
0	anti american doctrines
0	had indeed brought it on himself
0	launch campaigns against
0	do not acknowledge
1	appreciates
0	has refused to make any statements
1	meaningful action now
1	grateful
0	is , more or less , untenable
0	places strains
0	biggest
0	widespread disbelief
0	groundless
0	warned
1	will bear witness
0	blatantly obstructed
0	it would have avoided this problem
1	whether or not one agrees with it
1	promised
0	are not satisfied with
0	has also refused to recognise
0	danger they pose
0	is it acceptable because
0	is not a sure thing
1	upholding
0	spirited away
0	is adamantly against
0	provocative enough
0	double standards
1	wise
1	stands on the side of justice
0	appalling
0	had himself to blame
0	have given proof of illegality and political persecution
0	naked pursuit
0	politically very difficult
0	however
1	still wants
0	coup farce
0	critical voice in
1	go out into the streets to defend
1	praised
0	interfere
1	better clothed
0	restrictive
0	enormous
0	extremist gang
0	enemy
0	refusing
0	axis of evil
0	it is wrong
0	claims to defend
0	israel is one of the us states
0	labeling
0	criticism was toned down greatly
0	those who are really behind it all , those who are behind this business , use the imf
0	alleged
0	threatened to choke
0	prisoners are getting coddled
0	has fallen on stones
0	whom does he think
0	axis of evil
1	not too bad either
0	so vast
0	using violence , intimidation , special laws and dirty tricks to fix the two day election
0	as bad as the prospects of change seem to be
0	has abused
1	more heterogeneous
1	understandable
1	to defend
0	rigged
0	traumatized
0	concerns
0	incited
0	were insulting to the palestinians
0	axis of evil
0	campaign
0	was not killed
0	worries
0	so called
0	are irritated
0	groundless plot
1	was finally accepted
0	criticized
0	simply a blatant act of the world 's worst rogue state to do someone harm
0	charges being leveled
0	opposed
0	worried
0	unacceptable
1	recognize
0	succumbed under the mighty stranglehold
0	biased propaganda
0	storm the castle
1	want
1	was agreed upon
0	to think
0	provocative
0	judging from
0	showed its true hostility
1	preservation of democracy and human rights
0	if it suddenly proved impossible
0	definitely the third side will go to no one but britain
0	yelled
0	simply
0	very odd
0	might as well
0	in such a complex state
0	has sounded the alarm
0	is perforce a bit scary
0	it 's not a bad deal
0	refuses to bow
0	fear of
0	is likely to produce a negative effect
0	indeed the ring leader and empire of evil
0	still tense relationship
0	concern
0	subjected
0	impossible
0	one common denominator
0	argued
0	a kind of collective punishment
0	highest
0	but not for adventures
0	fraud
0	is critical
0	has been widely criticized
0	designed to achieve an outcome power at all costs
1	excused
0	will intensify
1	fair shares
1	want to
0	consecrate violence and counter violence
1	will now agree
0	disenfranchise
0	denounced
1	venezuela 's strong slap on the face of the united states
0	befuddled
0	the exaggeration
1	achievements
1	have welcomed
0	in a way that can not be taken seriously
0	accused
0	what would then remain
0	expose all venezuelans to national and international ridicule
0	true threat
0	the demonstration
0	forced exodus of hundreds of thousands
0	very serious threat
0	her former friend as an enemy and her former enemy as a friend
0	completely violated
0	stolen the election
1	committing themselves to peace
0	breeds insecurity
0	claiming
0	is greatly responsible
0	sympathy
1	think
0	indifferent institutions
0	rig
1	legitimate
0	was neither free nor fair
0	continue to obstruct
0	barbarism
0	scorned
1	leeway
1	working around the clock
0	with their own agenda against
1	support
0	charges of
0	did not agree
0	usa to end inhumane treatment
0	more criticism
0	shouted
1	hope
1	just
1	is promising
0	harsh criticism
0	dirty tricks
0	greatest
1	immediate withdrawal
0	this is just the pursuance of a vendetta
0	the opposition
1	moderate behavior
0	concerns
1	great israeli empire
0	the nation most likely to suffer the impact
1	positive
0	have direct influence
0	is likely to prejudice
0	there are a few ambiguous points
1	loudly and clearly
0	terrorizing
0	a nation that ``continues to flaunt its hostility toward america and to support terror
0	dictatorial regime
0	as evil
0	claiming
1	far preferable
0	challenging and issuing objections
0	would not support
1	protecting
0	arouses fears
1	a strong turnout favored him
0	due to those who stand in the way of the settlement
0	forcing painful austerity measures
0	are bent on destroying
1	lack of alternative for power
1	favourable comment
1	are quite respectful
0	evildoer
0	discredits and kills
0	impose
0	be smooth either
0	showdown
0	a war criminal
1	proposed
0	difficult
0	exacerbating
1	that concessions are sufficiently concrete
1	favouring independence
1	commitments
1	supports
0	recklessly picked on our country
0	worthy arguments
0	feel sorry for
0	depends on
0	denied
0	keep a distance from america
0	dramatic
1	want to help
0	full of cruelties and torture
0	is not fast enough
0	concerns
0	the iranians have not done what the pakistan government has done
0	concern
0	double crime
0	criticisms
0	dismissed
0	viciously spoke ill
0	has come under fire
0	horrific news
0	the opposition by
1	fairly good prospects
0	duplicity
0	ripple effect
0	failure to ratify
1	will be quite difficult
0	political disadvantage
0	only made to tarnish the image
1	feeling
0	lavished
0	must stop war
1	tried to resist
1	promised
0	regarded as a moderate person , compared to
0	one would inevitably be reminded
0	critics
0	want to sweep aside all competitors from other countries
1	praised
0	deals a stinging slap on the face
0	empire of evil
1	were approved
0	they stand with empty pockets and their hands empty , out toward alberta
0	the countries of the axis of evil
0	individual acts of insubordination
0	foretaste of resistance
1	good health system
0	warned
1	democratic achievements
0	threatened
1	brought to the justice
1	more substantial progress
1	hopes
0	fraught
0	it makes no sense
1	respecting
0	hegemony
0	clearly not free and fair
1	want
0	designed to benefit mugabe
1	satisfied
1	to rid
0	fight terrorism alone
0	impossible to achieve coexistence
1	in order to end occupation and settlement in their territories
1	unlikely to affect
0	not
0	will not
0	should be harshly condemned
0	swiftly countermanded by
0	is to allow the growth of a dangerous focus
0	disobeying uncle sam
1	would support
0	common enemy of all civilized men and women
0	second only to the terrorism itself
0	are not sometimes inclined to sacrifice these values for the good cause
0	steel manacles or open air cells
0	simplistic interpretation
0	ghastly and barbaric act of terrorism
0	he can work with his troubled neighbor
0	highway robbery
0	main problems are in the economic area
0	gunned down
0	condemned
1	please
0	deserves whatever he gets
1	asked
0	dictate
1	relatively mild
0	lumping
0	no longer live by the sword
1	well
0	highly destructive
1	celebrate
1	gratitude
0	far from perfect
1	accepted
1	loyal attitude of
0	mere positioning
1	appeals
0	unless drastic measures are taken , we are on the way
1	widened
0	pretend to be
1	victory of justice and freedom
1	victorious
0	reckless
1	being biased in favour of
0	a bitter pill to swallow
0	they get fed better than us
0	so little information
1	was satisfied
1	goal
1	urged
0	poor response
0	does not function optimally
0	deepened
0	charge
0	already volatile
0	interfering
0	beyond the reach of any legal regime
1	eyeing
1	approve
0	loathsome action
0	virtually no attention has been paid
1	asked
0	is concerned
0	reclusive `stalinist' state
0	rigged the poll in favor of
0	an attack
0	has already warned
0	will not have the same fate as
0	it becomes , in a weird way , less monstrous
1	i will have won
1	urge
0	widespread condemnation and objection
0	hostility to
0	mouthy
0	refusing
1	sought to project itself
0	something less
0	should interfere
0	slammed
0	to voice concern
0	repressive
0	ignored
1	dreaming
0	have shown reluctance
0	double standard
1	thanked
1	but he may be
1	thank
0	false
0	fell out
0	made a mistake
1	a man of peace
0	remain vigilant and are totally committed
0	succeeded in defeating
0	threatened
1	cause of justice of our people
0	taken up the reins of power
1	will make an important contribution
0	permission being denied
1	can count
0	tactless actions
1	ambition
1	very , very large
1	hopes
1	is consensus
1	should consider imposing
0	it would be madness to hold elections now
0	an even worse situation
0	could accept
1	seek liberation
1	fully within the legitimate order
0	have denied
1	will respect
0	to deny
0	are scared
0	blatant fraud
1	however we move forward into the future
0	but not democratic legitimacy
1	great contributions
1	success
1	have pleased
1	a success
1	optimistic
1	wants
1	advice
1	very warm
0	terrorism
0	did not endorse
0	real increase
0	willing
0	only abuse
0	blame
0	angry
0	to be enemies
1	let us hope
1	supports
0	an affront to palestinian , arab dignity , and international justice
1	will be just as good
0	hardest
0	very negative
0	axis of evil
0	a catastrophe would engulf every country
0	rejected
0	put off
1	preservation of global peace and security
0	staying
1	to cut costs
1	calls on
0	moving rapidly toward a legal coup
1	a number of excellent
1	based on peace and justice
1	will be able to achieve balanced economic growth
0	they 're terrorists , they 're murderers
0	is already under fire
0	extensive protest
1	believe
0	has been finding it extremely difficult
0	could become worse
0	deeply flawed
0	devastating
0	pretext
1	urged
0	damages the credibility
0	are shameless
0	without exception
0	worsen
1	these goals
0	inhumane
0	do reject
0	took issue
0	just as soon avoid
1	has confirmed
1	urged
1	has been unscathed by scandals
1	new beginning
0	by failing to hold firm
1	his goal
1	are glad
0	the main concern
0	was compromised
0	such humanitarians as saddam hussein and the government of malaysia
0	denounced
1	were delighted
1	due regard
0	equally worryingly
0	chanting
1	that may be so
0	irreversible
1	intentions
0	disregarding
0	denied
0	we look at a bleak future
0	could bring about a confrontation for power
0	demands
1	universal character of the prophets
0	picking on
0	rip off
0	are upset
0	sabre rattling
0	gaffe
0	the actual death blow
0	inefficient argentine automakers
0	rally
1	urged
0	break the spirit of
0	would beg for surrender
0	objection
1	embraced
1	promoted strongly
0	provoke
0	has been dragging along
1	has offered unequivocal political support
0	grim and complicated
0	stuck for 18 months on ground zero
0	not viable
0	without winners
0	supposed pre eminence
0	one that would be adversely affected
1	have been signed to promote
1	supports
1	join hands
0	tensions between
0	incredible damage
0	axis of evil
1	highly respected
1	called for
0	described
0	hand it the bill
0	not free and fair
1	wants
1	wishes to commend
0	at the expense of the world 's security and stability
0	blamed
1	good starting point
1	had expressed optimism
0	rhetorical petards hurled
0	sounded alarm bells
0	fundamental importance
0	in spite of
0	of more misery
1	urged
0	shameful electoral sham
1	to demand
0	cages
0	no tears will be shed in this corner
0	expressed concern
0	refusal
0	scapegoats among the weirdoes
1	this is a positive factor
1	perfect lifesaver
0	obvious concern
0	it will just be dragged along
0	radical responses germinate
0	is not amused
1	should take place
0	has called into question
0	shallowness of his commitment
0	a donkey being controlled by the british
0	provoke
0	in a way our government has not been
0	your
0	pariah and evil nations
1	hopefully
0	warned
0	swapping the silver visored helmet of a space cadet for the green eyeshade of a consummate bean counter
0	exploiting
1	very great
1	more dynamic
0	had become one of the sides of the axis of evil
1	useful message
1	fortunately
0	try to threaten
0	violated
1	warm
0	long been denied
0	were also uncertain
0	increase the palestinians' suffering and encourage the israeli right wing stands
1	reassurances
0	arbitrary arrests
0	warning
0	adversarial us position
0	drove the united states into a corner
0	refusing
0	by force if necessary
1	recognizes
0	guilty of using excessive force
0	not enough
1	to thwart
1	favourable
0	have cast doubt
0	attacks
0	keen to fight
0	incomprehensible
1	admires
0	rejecting
1	called for
1	appealed
0	they are indeed entering
0	exploding further
0	growing perception
0	apparent lack of a strategy
1	rallies for solidarity
0	bad
1	quite freely
0	the desperate fight
0	fear and intimidation
0	misrule
1	strong
0	there was a lot of fear and tension
1	trust
0	persistent
0	all kinds of provocative activities
1	honoured
0	would want
0	are nonetheless concerned
0	constant aggressive attitude
0	dismantling , destroying and demoralizing
1	faithful to
1	learn to accept
0	hardly ring true
0	seem logical
0	peaceful reunification
0	seriously hindered
0	evil
0	stunned and wondering
1	policies
0	unprecedented
1	seek more cooperation opportunities
0	no master of eloquence
1	a promotion of us values to china
1	supporting
1	supremacy of
1	has succeeded
0	prevent such outlaw regimes and their terrorist cohorts
0	hapless vanquished
0	accuses
0	as an opportunity
0	torture
0	dismissing
0	should be condemned
0	empty handed
0	accused
1	humane , legal , and proper
0	peace will not be gained through war
0	what could be worse
0	has criticised
1	leadership
1	pronounced
1	utmost
1	even more competitive
0	does not , of course , guarantee success
0	goes against the tide
1	preach
0	this country can not be brought to prosperity
0	deviate
0	thus
0	should have called government officials to account sooner
0	has threatened
0	anti democractic
1	great
1	patriotic
0	strong protest and denunciation
0	opposition
0	abuses
0	those making the climate worse
1	calls for
0	cold
0	a lot of negative points
0	to make this government fail
0	do n't need the kind of politician brian tobin had become
0	truly inconceivable
0	with the guerrillas in particular , we supply the dead , while you enjoy politics
1	have supported
1	bury past differences
1	young old man
0	i say to myself , 'would we allow that , if canadian troops were taken
1	with much intensity
1	will try its best to persuade
0	axis of evil
0	brings back bad memories
0	axis of evil
0	inhuman treatment
0	severe consequences
1	tone down
0	would have to be drastically revised and curtailed
0	in protest against the israeli holocaust against palestinian civilians
0	fresh meat
0	such biased
0	brutal and oppressive rule
0	disqualify him
1	call on
0	aggressive
1	plotting
1	urged
1	rediscovered
1	totally committed
0	sacrifice himself
0	rejected
1	sobriety
0	protested against
0	shocking swing
1	claims to advocate
0	fraud
0	classic techniques
0	a chorus of euro whiners
0	can not accept
0	appropriateness of antagonizing
1	defends a different posture
1	work with all my might
0	turned the world into a single front
0	warned
0	is now condemned
0	waited anxiously
0	evaluated
1	hope
0	government of death
0	feared
0	struggle started to annihilate turks in cyprus
1	should find it gradually easier
0	had planned
0	led a move to suspend
0	axis of evil
0	damage
1	aim
1	urged
1	calling for respect
0	since one would have been paid to do so
1	loyal
0	crisis
0	stopped short of being free and fair
0	charges brought
1	has been praised
0	risked the full weight of the law
0	a terrific example of how to violate international laws and human rights
0	had issued a warning
0	do not possess the necessary expertise
0	yet another burden
1	get inspiration
0	abrupt escalation
0	opposed
0	systematically wrecked
1	extensive and important
1	appreciated
0	the world has heated up a notch
0	pet theme
0	israel is a spoiled brat of the united states
0	cautioned
1	kept peeking
0	severing all ties with the zionist enemy
0	depriving them of their rights
0	like crap
0	shared responsibility for the massacres
1	clearly welcomes
0	had no respect for any religion , faith , norms , decency , human rights and rules
1	defend freedom
0	too much blood was shed and much suffering endured
0	suspected
0	menace
0	grand strategy to target
1	interests
0	will find it difficult to attain
0	thought
1	more impossible than ever
1	continued support
0	for perishing
0	troublemaking
0	does not endorse
1	more interested
1	promotion
1	the only winners
0	pointed the finger
1	friend
1	wished
